time,students,temperature,appliances,humidity,day_of_week,is_weekend,num_classes,random_noise,building_color_code,id_number,energy
11,178,26.7,23,66.72,2,0,8,-0.38,125.47,71.9,1089.07
1,67,16.42,18,85.68,3,0,2,-0.7,142.33,73.71,634.52
9,330,17.98,30,70.95,5,1,7,0.3,779.68,76.49,1229.01
3,273,17.9,8,35.12,0,0,6,-0.64,520.2,75.88,893.81
13,104,31.3,29,22.28,0,0,4,0.02,692.61,76.66,1026.59
15,108,33.55,49,38.03,4,0,7,-0.74,279.3,78.33,1188.6
14,374,29.57,46,61.86,4,0,4,-1.53,623.95,78.52,1491.27
7,411,38.98,29,23.57,6,1,2,0.91,705.85,80.73,1246.52
13,221,24.49,22,54.71,2,0,7,0.5,595.29,81.07,1044.23
22,328,22.2,44,61.57,5,1,8,2.29,297.27,82.49,1229.16
7,162,36.69,12,43.19,1,0,2,-1.06,704.42,83.02,858.22
20,338,20.44,43,73.83,3,0,5,-0.2,678.44,84.14,1282.43
15,481,38.89,44,27.65,6,1,1,-0.13,940.61,83.74,1536.66
12,392,15.33,18,25.33,2,0,7,0.96,953.1,87.12,1059.34
17,199,39.19,36,70.74,4,0,8,-0.5,616.74,87.03,1313.26
14,497,16.04,42,54.98,3,0,6,-1.17,613.73,87.29,1502.19
20,175,37.37,37,68,4,0,5,1.21,126.06,89.21,1258.71
23,201,28.18,27,50.16,3,0,6,-0.32,208.81,89.27,1138.22
12,437,39.82,19,37.21,1,0,2,0.88,154.88,92,1446.2
8,322,16.72,37,77.61,2,0,1,0.77,166.87,92.19,1124.99
14,152,28.83,29,75.71,3,0,7,-0.03,938.22,93.16,1142.99
12,466,39.27,21,68.7,5,1,7,-0.17,191.65,93.22,1657.92
0,442,28.09,37,39.11,6,1,2,-0.39,241.58,94.59,1276.66
6,348,30.77,6,61.36,0,0,2,-0.03,981.61,96.68,1055.63
8,295,32.34,18,45.24,5,1,1,0.88,538.09,96.21,915.03
23,222,26.32,44,26.46,5,1,8,-0.79,733.06,99.77,1164.32
0,89,30.77,44,84.14,6,1,8,0.1,777.72,100.01,964.86
11,220,29.71,43,29.75,0,0,1,-1.11,185.42,100.42,1115.83
7,296,37.56,10,86.21,5,1,8,-1.01,685.33,101.4,1175.6
23,74,16.16,10,51.26,3,0,9,-0.03,442.71,103.18,621.95
10,405,21.99,7,32.98,3,0,4,-1.96,392.13,102.24,1077.47
18,355,38.64,11,57.71,3,0,1,2.07,672.84,103.22,1296.42
16,458,37.21,12,80.93,0,0,1,-1.19,750.24,104.7,1389.35
7,457,26.48,46,71.71,5,1,3,-0.05,710.18,106.98,1415.75
2,63,30.47,19,76.31,0,0,5,1.16,800.78,105.22,729.26
2,368,21.93,33,66.35,3,0,5,-0.88,341.36,108.57,1161.17
0,440,19.72,37,68.75,6,1,9,-2.32,925.56,109.89,1420.59
4,362,26.54,34,79.27,5,1,2,-0.44,658.82,108.55,1185.77
9,85,23.89,43,37.37,5,1,2,-0.88,132.44,109.95,814.41
6,222,29.71,31,54.29,4,0,6,-2.27,492.73,112.03,1226.26
8,68,16.97,40,35.42,4,0,9,0.28,380.35,111.34,935.15
6,371,39.34,33,89.59,1,0,1,0.21,634.6,114.03,1410.6
8,314,39.59,42,86.52,2,0,9,1.15,257.58,114.73,1604.95
7,449,32.41,37,22.67,4,0,9,-1.12,482.26,115.98,1521.64
11,190,28.33,41,69.24,0,0,9,-1.6,171.24,115.68,1228.69
1,418,22.78,31,85.03,4,0,5,-0.41,975.86,118.12,1405.31
0,194,35.44,37,32.22,1,0,9,-0.08,981.63,118.03,1132.84
15,141,31.96,8,59.74,5,1,4,0.92,310.01,121.08,636.4
22,402,19,26,83.91,1,0,2,1.42,751.26,119.28,1269.39
22,373,37.72,6,22.72,5,1,6,1.22,477.84,123.1,1141.07
23,337,35.53,14,68.95,6,1,4,0.27,844.13,123.79,1296.36
4,266,38.78,9,40.73,6,1,6,0.81,314.13,125.49,950.78
2,496,33,14,84.89,5,1,3,-0.64,179.84,124.2,1352.77
11,392,30.27,37,88.11,2,0,6,0.15,825.61,126.6,1527.73
7,100,25.42,42,86.41,4,0,2,-1.18,727.69,127.54,1063.38
21,202,38.35,17,52.92,0,0,2,0.06,704.35,127.78,1146.09
2,234,36.56,35,80.11,0,0,9,0.09,878.47,129.22,1420.41
0,112,16.14,40,79.2,3,0,7,1.71,480.32,129.61,846.12
2,239,15.59,49,42.61,5,1,3,-0.23,779.42,132.19,975.64
4,175,24.29,28,78.21,0,0,1,0.08,152.61,131.49,970.79
14,200,35.26,19,22.19,2,0,8,0.23,892.04,132.25,1103.2
13,362,39.77,33,61.74,5,1,6,-0.44,123.17,134.97,1449.69
2,108,18.74,12,36.06,2,0,7,-0.8,979.47,135.14,673.37
0,388,29.86,9,28.29,0,0,9,1.3,548.66,136.71,1153.78
4,355,24.49,33,25.72,0,0,5,-0.96,167.74,138.66,1113.73
22,228,39.27,8,68.52,3,0,1,-1.31,855.89,136.65,1027.05
13,217,36.05,16,44.07,0,0,7,0.69,350.97,139.27,1269.19
6,375,35.88,49,70.74,5,1,5,1.17,994.77,139.43,1457.91
8,320,26.61,6,24.09,6,1,3,-0.45,145.12,139.85,725.26
14,101,25.43,31,41.9,5,1,9,-0.43,195.18,141.97,932.71
14,491,21.75,35,57.44,5,1,1,0.28,647.67,143,1396.1
9,150,16.38,40,75.56,3,0,1,-0.7,324.36,144.24,1005.92
12,312,36.73,40,42.36,3,0,1,-0.78,871.99,146.3,1351.02
18,101,35.2,30,63.97,0,0,3,0.9,777.52,146.61,1073.84
6,108,40.04,47,81.73,1,0,6,0.59,537.37,146.43,1366.94
16,157,39.83,31,62.96,1,0,3,1.31,894.29,147.4,1107.03
19,53,28.99,9,36.24,3,0,8,-1.24,703.42,149.93,713.56
3,152,34.22,24,21.99,0,0,2,-0.52,477.02,150.23,800.83
4,248,38.65,15,80.84,1,0,9,0.28,277.06,151.46,1220.41
22,309,36.18,14,21.45,0,0,3,-0.94,524.93,152.82,1237.15
6,415,21.18,44,81.62,0,0,5,0.65,807.29,152.11,1509.21
12,419,26.19,42,56.75,0,0,8,1.23,408.16,154.14,1593.36
14,400,18.27,10,85.78,4,0,2,-0.59,877.03,155.38,1035.32
10,96,38.83,12,76.08,5,1,6,0.05,603.7,154.72,810.18
3,407,30.11,27,89.43,0,0,5,1.45,368.07,157.23,1307.52
12,360,20.7,30,44.91,4,0,9,1.81,685.03,158.59,1386.26
6,473,31.71,47,73.3,3,0,5,0.73,104.76,158.63,1776.55
18,358,30.29,16,48.01,1,0,2,0.59,609.44,158.39,1237.5
21,192,23.91,30,53.96,5,1,5,-0.85,575.41,158.8,923.95
1,317,17.84,17,63.42,6,1,4,0.36,398.33,163.42,991.71
9,420,31.89,44,81.3,1,0,7,0.54,264.42,163.33,1635.27
12,173,27.94,22,89.07,5,1,6,-0.23,586.31,164.22,905.88
20,154,34.34,29,73.74,6,1,2,-0.6,693.67,164.4,934.95
5,208,27.87,37,49.26,1,0,5,-1.26,171.6,164.85,1085.5
11,195,36.35,44,49.31,5,1,7,-1.74,664.61,167.46,1205.73
11,192,28.85,47,71.48,1,0,7,-1.94,660.11,168.25,1281.12
19,170,29.09,16,36.72,1,0,5,0.58,340.62,169.86,855.85
10,370,36.94,48,27.62,6,1,9,0.15,204.6,169.83,1561.71
22,326,24.95,40,44.62,1,0,4,-0.49,312.88,170.93,1330.75
6,140,18.38,8,39.86,1,0,3,-0.34,651.35,172.72,590.34
0,105,15.93,9,41.09,6,1,4,0.2,927.86,174.35,516.42
0,489,33.9,41,36.34,3,0,5,-0.16,571.64,173.76,1504.01
19,395,30.58,12,22.95,0,0,6,-1.35,552.92,175.35,1153.13
12,280,32.48,46,21.44,2,0,3,0.92,364.18,177.46,1347.53
8,167,20.36,32,88.94,4,0,2,0.28,487.91,177.28,1082.44
2,366,18.28,35,49.7,2,0,4,0.28,873.93,175.68,1175.35
6,330,15.29,13,46.97,2,0,5,0.83,949.74,178.88,970.25
5,175,23.76,33,67.71,5,1,4,-0.81,484.4,181.87,836.8
7,442,29.77,18,35.27,0,0,3,1.22,977.67,182.15,1267.91
8,445,24.78,44,86.38,5,1,8,-0.15,361.71,183.53,1515.67
4,180,25.94,45,75.15,0,0,4,0.89,382.42,182.28,1130.84
0,108,37.62,26,26.43,6,1,2,0.73,725.61,185.98,764.48
18,170,23.74,15,49.38,6,1,2,-1.04,972.88,184.69,676.01
9,50,27.88,27,81.65,0,0,1,0.5,136.68,187.38,777.03
11,287,34.52,5,85.97,1,0,4,0.32,585.89,187.93,1013.01
23,340,24.86,41,52.63,3,0,9,0.02,321.16,186.57,1465.23
14,149,30.58,25,62.83,1,0,7,-0.1,228.65,188.43,1054.98
21,176,36.37,30,31.89,3,0,7,-0.08,615.35,190.38,1189
23,168,38.65,40,89.1,5,1,7,0.82,711.12,190.49,1307.78
8,94,18.57,27,36.29,3,0,8,0.6,991.34,191.86,874.24
19,138,38.17,5,85.97,5,1,1,0.02,784.84,193.37,722.47
16,285,27.36,44,65.88,6,1,8,-1.5,713.63,195.42,1235.05
16,421,21.42,19,62.35,2,0,4,0.5,713.81,195.85,1313.53
19,434,26.56,25,56.31,6,1,4,0.73,360.47,195.57,1181.54
11,323,39.56,13,36.15,6,1,4,2.3,459.95,195.88,1090.55
6,238,27.43,13,32.32,2,0,6,1.1,854.07,197.82,876.42
1,241,23.27,14,35.24,3,0,7,-1.9,888.38,200.04,1017.98
2,494,30.8,30,33.04,3,0,6,0.08,648.12,199.65,1504.76
16,118,21,45,74.53,5,1,1,1.81,750.13,200.75,881.27
4,329,16.86,39,44.32,1,0,8,0.64,629.05,202.14,1310.46
16,396,18.27,29,23.87,5,1,7,0.34,914.97,204.22,1117.9
23,296,18.22,30,87.71,1,0,6,0.89,990.88,203.82,1222.07
16,124,18.78,15,81.69,6,1,6,-0.62,115.62,206.67,680.34
16,203,18.43,42,84.87,2,0,5,0.48,228.03,204.59,1126.31
1,192,31.04,6,89.86,6,1,6,-0.25,669.91,206.63,857.73
1,484,19.58,11,32.35,0,0,9,-0.03,203.81,207.3,1288.97
21,134,23.65,22,47.78,3,0,9,0.82,987.83,209.51,1048.52
22,233,37.28,31,73.04,1,0,8,-0.93,631.35,210.21,1283.06
4,334,26.84,38,68.62,5,1,9,1.29,764.7,210.74,1303.75
0,269,31.68,31,30.66,2,0,8,-0.42,367.82,211.72,1123.49
0,117,19.38,21,77.16,1,0,8,0.26,261.44,214.36,843.9
18,95,19.89,47,35.45,5,1,1,-1.41,360.87,214.04,940.7
1,143,16.06,48,35.89,3,0,5,0.72,203.43,215.5,953.83
20,287,19.09,28,57.63,6,1,4,1.43,605.39,215.62,1098.64
11,493,21.95,29,61.87,3,0,2,-0.52,832.49,216.55,1530.26
5,252,19.26,11,60.5,4,0,8,-1.11,675.33,217.03,1031.53
22,449,17.19,10,26.35,0,0,3,0.27,345.19,219.37,1121.56
3,265,18.09,28,81.5,4,0,4,1.45,738.14,218.97,983.19
22,482,26.55,37,38.67,2,0,7,-1.44,896.1,220.51,1614.12
10,392,20.12,33,28.99,1,0,9,-1.09,935.18,219.66,1304.11
23,89,24.07,47,82.71,2,0,2,-0.44,631.2,223.29,975.28
16,150,27.68,26,87.2,6,1,3,-0.83,233.1,224.49,934.06
5,338,32.22,30,80,5,1,4,-0.8,448.95,223.98,1251.55
23,304,16.07,32,76.63,3,0,1,-2.1,295.6,226.31,1269.09
4,271,34.96,25,65.93,4,0,7,0.6,893.61,228.83,1227.65
19,406,30.61,11,58.48,4,0,2,0.33,765.02,227.72,1273.1
1,71,17.13,21,26.28,6,1,5,-1.68,478.53,228.7,467.9
5,299,36.85,24,48.35,4,0,1,1.45,739.63,229.67,1204.08
21,56,38.1,45,46.11,6,1,3,1.67,325.18,232.27,977.31
10,296,16.62,24,38.63,2,0,2,-0.74,798.66,232.05,895.76
15,373,21.78,26,70.43,3,0,1,1.16,572.73,232.88,1224.61
15,150,35.38,32,54.5,1,0,7,-0.58,575.87,235.09,1179.52
0,339,33.7,44,25.46,5,1,5,0.2,360.37,234.86,1266.81
8,228,19.35,11,35.19,1,0,1,-0.83,478.3,235.48,822.66
5,272,20.13,5,68.15,2,0,6,2.21,585.91,237.07,846.75
15,441,24.23,36,25.49,5,1,5,-0.29,531.41,236.21,1269.12
2,298,27.18,17,79.79,4,0,3,0.14,746.74,239.59,1122.33
19,196,30.4,34,54.64,0,0,7,-0.69,309.06,239.98,1174.81
3,491,24.3,27,53.57,2,0,9,1.85,675.2,240.22,1510.57
18,146,26.46,23,61.61,2,0,9,1.89,478.35,241.43,911.54
2,306,33.76,36,77.45,3,0,9,1.65,500.9,243.22,1589.53
18,372,15.98,34,44.29,1,0,2,0.95,547.59,243.77,1194.36
19,53,21.38,33,67.18,2,0,3,-0.64,460.81,246.06,919.54
6,66,32.83,49,59.54,2,0,7,0.83,977.65,247.03,1086.68
19,328,37.44,33,39.09,4,0,5,0,555.4,248.04,1427.02
8,385,27.93,34,81.4,4,0,2,1.31,825.24,248.2,1461.09
0,297,28.38,20,75.78,5,1,3,1.11,830.95,249.47,1069.86
7,306,17.6,44,66.21,6,1,6,-0.63,324.37,249.81,1166.07
6,433,26.14,23,79.31,6,1,7,0.95,225.17,251.66,1322.27
17,210,28.23,22,80.85,0,0,9,0.66,686.5,252.38,1258.42
7,390,21.14,5,69.61,6,1,1,-2.79,577.6,252.84,1065.89
0,201,21.69,18,78.29,3,0,7,0.81,894.9,254.85,969.89
10,445,24.38,6,68.99,0,0,8,-0.41,374.47,255.59,1429.67
17,227,15.54,32,67.69,5,1,3,-0.87,254.28,256.07,915.22
22,212,22.94,34,63.5,4,0,4,-0.85,859.14,256.94,1194.17
9,430,20.38,42,72.68,6,1,6,-0.15,318.84,257.69,1459.16
2,83,23.07,8,30.95,1,0,7,0.47,292.61,259.13,606.39
6,465,17.99,5,81.6,4,0,4,-1.37,515.73,260.04,1151.46
15,494,37.32,12,80.88,3,0,8,0.21,769.95,261.68,1676.36
15,226,29.78,33,22.23,4,0,5,0.57,791.86,263,1092.19
19,476,32.04,43,77.5,3,0,1,1.85,650.91,263.72,1597.46
16,150,34.74,7,28.72,3,0,4,-1.08,137.46,264.11,808.94
1,318,27.32,36,43.33,3,0,3,-0.35,408.36,264.89,1162.2
0,374,17.02,14,71.99,5,1,9,0.25,435.53,266.29,1118.35
15,114,28.47,14,30.88,3,0,8,1.17,416.76,267.29,899.43
11,466,29.76,23,77.29,3,0,1,-0.32,178.47,268.89,1450.2
4,215,33.7,38,77.67,1,0,6,1.18,372,267.47,1284.95
4,380,25.93,37,55.32,0,0,9,-1.93,278.56,270.12,1400.67
22,93,18.12,27,20.48,2,0,7,-1.24,992.63,271.11,868.67
8,92,22.19,32,39.76,0,0,4,0.34,762.41,270.52,887.01
8,334,24.14,36,63.32,3,0,1,-1.4,371.24,271.21,1248.49
2,445,31.21,11,88.41,1,0,2,-1.18,938.2,276.25,1326.87
18,58,29.18,33,64.35,4,0,5,-0.51,720.86,275.41,923.73
15,146,23.89,12,38.27,1,0,5,0.78,748.52,275.35,817.54
15,349,39.66,5,63.94,3,0,8,-1.89,960.37,276.86,1275.21
2,437,30.17,7,57.77,1,0,6,0.17,883,277.97,1251.65
19,300,20.87,28,74.21,6,1,8,1.03,960.05,279.89,1093.74
23,292,17.56,27,27.19,1,0,2,-0.19,388.34,278.54,933.04
21,85,18.68,12,73.18,3,0,3,-0.39,822.15,280.32,707.25
23,262,21.21,41,58.09,5,1,6,0.4,994.95,281.78,1150.24
0,384,19.1,7,87.26,6,1,3,-0.19,367.55,281.54,965.18
23,140,19.58,37,43.75,1,0,6,1.38,162.06,282.06,1016.72
19,312,22.18,32,64.48,2,0,6,-1.11,578.73,284.03,1290.27
10,141,19.35,12,85.05,2,0,2,-0.06,345.05,285.77,797.5
16,460,37.57,38,26.96,1,0,7,0.22,252.87,287.85,1612.43
7,139,16.97,39,85.35,5,1,2,-0.38,148.94,288.21,821.26
3,469,28.15,36,68.2,4,0,6,-2.86,551.53,288.34,1631.74
5,164,25.34,28,24.89,3,0,1,-0.17,298.88,289.73,814.81
7,153,39.5,18,41.41,2,0,3,0.89,759.65,291.43,931.42
19,441,17.94,36,69.68,4,0,2,0.78,223.83,293.6,1402.12
2,245,24.99,47,24.95,1,0,7,0.36,100.56,291.35,1184.28
15,363,39.1,20,60.73,4,0,4,-1.1,859.89,293.46,1330.92
2,165,36.69,8,43.9,6,1,8,0.39,955.38,294.8,775.67
17,122,35.46,41,63.4,0,0,6,-0.57,739.92,296,1159.89
13,461,21.53,25,23.56,2,0,4,0.34,287.88,296.92,1351.82
17,424,19.19,18,81.14,1,0,5,0.12,681.12,298.15,1284.53
1,467,31.68,35,87.92,3,0,9,-0.99,614.36,298.4,1651.81
21,266,38.22,22,87.63,5,1,7,-0.89,541.45,299.9,1317.21
6,213,34.99,19,21,3,0,7,-0.92,264.88,1.29,919.74
19,258,21.97,15,25.79,2,0,2,0.09,319.1,2.5,918.96
14,495,19.44,12,34.75,2,0,7,1.59,370.34,2.04,1376.96
10,218,33.72,30,22,3,0,5,-0.33,732.32,3.34,1019.41
7,209,35.11,49,32.78,4,0,5,1.32,944.39,5.33,1306.45
20,118,39.86,48,60.47,3,0,6,-1.22,501.02,7.35,1338.79
6,337,25.36,9,49.08,6,1,9,-0.54,281.73,6.47,969.68
18,446,24.19,10,82.37,4,0,6,-1.41,711.69,7.66,1422.84
22,325,34.32,30,77.46,2,0,8,0.07,828.35,9.17,1514.56
10,355,23.56,8,44.35,0,0,7,0.77,304,8.93,1146.71
10,451,38.26,23,37.8,5,1,9,0.07,677.31,10.93,1396.95
23,433,36.27,24,46.47,6,1,4,1.22,654.92,12.41,1406.48
20,441,25.63,37,61.68,6,1,2,-0.74,939.52,13.59,1276.08
3,187,33.79,24,38.95,2,0,7,0.23,912.2,12.85,899.33
7,246,33.99,16,63.56,2,0,6,-0.52,325.32,14.94,1125.19
23,451,17.68,5,48.55,1,0,1,0.36,791.67,15.53,1186.76
2,178,37.56,30,58.68,6,1,9,0.5,719.08,15.78,1101.96
21,83,27.58,18,50.51,1,0,9,0.6,695.54,16.86,928.62
20,224,35.6,42,40.31,1,0,2,-1.08,942.51,18.25,1239.32
1,495,23.02,41,86.56,5,1,3,-0.89,347.92,19.49,1378.03
23,422,37.4,15,73.44,1,0,5,-0.71,976.63,20.82,1470.67
11,425,24.74,40,29.57,4,0,5,-0.24,540.28,22.04,1444.29
5,71,15.28,17,80.63,3,0,1,0.07,629.21,22.34,575.2
1,285,37.63,47,53.8,0,0,8,0.72,293.58,23.38,1500.95
20,208,17.2,7,82.99,2,0,8,-0.84,792.04,24.1,973.61
0,87,22.89,37,76.18,4,0,4,-1.61,618.43,25.75,908.28
11,279,38.81,10,50.18,0,0,7,2.18,165.23,27.46,1238.89
21,414,38.73,14,21.13,6,1,3,-1.12,746.31,29.18,1195.74
11,98,29.28,9,38.83,6,1,6,0.83,493.61,29.67,707.08
16,487,30.94,27,57.88,6,1,9,0.03,772.88,31.82,1507.82
9,314,26.09,14,64.67,4,0,1,0.26,862.89,30.82,1061.76
15,330,22.28,48,38.23,4,0,5,0.01,302.44,32.6,1318.15
14,78,23.26,6,29.58,2,0,4,-0.38,250.61,33.9,543.72
14,275,31.7,17,78.31,3,0,8,0.46,568.21,34.66,1263.93
18,326,33.7,44,89,1,0,1,-0.44,755.41,35.79,1347.56
11,336,34.67,6,57.12,6,1,9,1.17,291.55,36.85,1127.72
22,145,34.68,24,31.97,5,1,6,0.55,526.55,36.57,854.98
19,334,17.24,5,39.27,3,0,4,0.61,765.25,38.63,1008.47
2,414,27.35,41,21.32,5,1,9,-0.53,588.85,39.13,1420.84
4,496,16.54,13,84.2,2,0,5,-0.25,989.53,38.85,1249.03
18,365,28.84,21,28.57,2,0,5,-1.2,994.19,41.38,1271.43
6,354,25.94,13,60.55,2,0,5,-0.35,244.3,41.82,1195.45
20,195,37.24,15,39.32,0,0,1,-1.04,415.68,43.11,1042.49
8,54,23.75,19,58.82,5,1,1,1.33,260.48,42.72,555.77
6,83,17.98,28,65.51,3,0,8,0.05,413.35,43.46,894.75
17,239,18.48,42,77.89,3,0,8,0.17,118.89,45.6,1243.64
3,99,34.1,39,34.35,4,0,6,-0.22,188.42,47.37,1010.26
13,63,30.56,34,20.53,4,0,4,0.2,678.62,48.31,831.82
17,222,17.53,35,29.28,6,1,2,2.46,226.33,48.36,829.71
8,270,17.04,9,82.93,4,0,2,-0.31,695.91,49.4,891.39
20,207,32.53,48,81.09,2,0,9,-0.64,827.41,51.58,1484.36
1,97,16.84,18,61.83,3,0,5,0.54,400.73,51.36,751.11
19,421,35.67,15,62.2,5,1,4,-2.51,467.92,53.76,1320.35
14,55,32.63,13,66.49,2,0,1,0.04,951.21,54.26,774.59
6,147,16.97,38,32.48,0,0,7,-0.38,952.72,56.96,968.43
11,428,17.09,16,84.2,4,0,3,-0.98,484.63,57.12,1386.22
7,285,39.71,39,49.29,2,0,6,0.5,541.93,57.02,1276.84
14,86,24.41,39,46.61,2,0,5,0.06,525.93,58.77,907.24
2,330,24.24,5,56.28,0,0,5,-1.81,261.65,58,1087.35
13,399,35.28,44,23.43,1,0,5,-0.64,277.32,60.29,1495.58
16,350,38.56,26,31.63,3,0,1,-2.89,724.8,63.03,1339.52
3,229,39.61,33,71.54,5,1,1,0.3,808.41,60.36,1099.39
17,145,33.79,12,25.85,6,1,3,0.28,995.51,62.89,878.09
7,149,24.46,15,62.29,1,0,4,-0.79,590.2,62.72,757.59
3,237,17.01,45,37.42,4,0,5,0.54,423.5,65.68,1148.57
1,165,34.48,41,47.19,2,0,2,-1.27,698.62,64.22,1166.66
5,241,28.87,18,40.47,0,0,8,-0.99,388.79,66.99,997.71
21,302,25.68,34,44.97,0,0,2,0.43,691.01,67.28,1262.72
9,466,37.67,39,70.44,3,0,9,-0.69,765,69.07,1696.71
3,210,17.73,25,40.98,1,0,2,-0.07,672.12,68.99,832.52
21,307,27.35,41,59.92,6,1,9,-0.57,672.03,70.35,1348.25
17,372,15.28,9,53.42,3,0,7,-0.4,451.78,71.07,966.73
11,178,26.75,23,66.45,2,0,8,-0.36,123.17,71.7,1091.31
1,68,16.35,18,85.19,3,0,2,-0.69,141.08,74.47,637.69
9,329,17.96,30,71.58,5,1,7,0.3,776.02,74.55,1232.48
